date,pettah_average
5/31/2019,84
6/1/2019,84
6/2/2019,84
6/3/2019,84
6/4/2019,83.33333333
6/5/2019,82.66666667
6/6/2019,82
6/7/2019,81
6/8/2019,80.93333333
6/9/2019,80.86666667
6/10/2019,80.8
6/11/2019,80.8
6/12/2019,79.6
6/13/2019,79.6
6/14/2019,80
6/15/2019,79.66666667
6/16/2019,79.33333333
6/17/2019,79
6/18/2019,79
6/19/2019,78.8
6/20/2019,79.2
6/21/2019,79.2
6/22/2019,79.13333333
6/23/2019,79.06666667
6/24/2019,79
6/25/2019,78.8
6/26/2019,79.2
6/27/2019,79.6
6/28/2019,79.6
6/29/2019,79.2
6/30/2019,79.06666667
7/1/2019,78.93333333
7/2/2019,78.8
7/3/2019,78.6
7/4/2019,79
7/5/2019,78.8
7/6/2019,78.86666667
7/7/2019,78.93333333
7/8/2019,79
7/9/2019,79
7/10/2019,78.8
7/11/2019,78.8
7/12/2019,78.8
7/13/2019,78.8
7/14/2019,78.8
7/15/2019,78.8
7/16/2019,78.8
7/17/2019,78.8
7/18/2019,79
7/19/2019,78.8
7/20/2019,78.9
7/21/2019,79
7/22/2019,79.1
7/23/2019,79.2
7/24/2019,77.4
7/25/2019,79.6
7/26/2019,79.2
7/27/2019,79.73333333
7/28/2019,80.26666667
7/29/2019,80.8
7/30/2019,80.2
7/31/2019,80.4
8/1/2019,80.6
8/2/2019,80.8
8/3/2019,81.1
8/4/2019,81.4
8/5/2019,81.7
8/6/2019,82
8/7/2019,81.6
8/8/2019,82
8/9/2019,82
8/10/2019,81.85
8/11/2019,81.7
8/12/2019,81.55
8/13/2019,81.4
8/14/2019,81.7
8/15/2019,82
8/16/2019,82
8/17/2019,82.2
8/18/2019,82.4
8/19/2019,82.6
8/20/2019,82.6
8/21/2019,82.8
8/22/2019,82.6
8/23/2019,82.6
8/24/2019,82.86666667
8/25/2019,83.13333333
8/26/2019,83.4
8/27/2019,83
8/28/2019,83.4
8/29/2019,83.8
8/30/2019,84
8/31/2019,84.13333333
9/1/2019,84.26666667
9/2/2019,84.4
9/3/2019,84.6
9/4/2019,84.6
9/5/2019,84.6
9/6/2019,84.6
9/7/2019,84.93333333
9/8/2019,85.26666667
9/9/2019,85.6
9/10/2019,86.6
9/11/2019,86.7
9/12/2019,86.8
9/13/2019,86.9
9/14/2019,87
9/15/2019,87.1
9/16/2019,87.2
9/17/2019,85.8
9/18/2019,86.8
9/19/2019,86.8
9/20/2019,87.4
9/21/2019,87.46666667
9/22/2019,87.53333333
9/23/2019,87.6
9/24/2019,87.4
9/25/2019,88.2
9/26/2019,87.6
9/27/2019,88
9/28/2019,88.2
9/29/2019,88.4
9/30/2019,88.6
10/1/2019,88.6
10/2/2019,88.2
10/3/2019,89
10/4/2019,88.6
10/5/2019,88.86666667
10/6/2019,89.13333333
10/7/2019,89.4
10/8/2019,88.6
10/9/2019,88.6
10/10/2019,89.2
10/11/2019,89.2
10/12/2019,89
10/13/2019,88.8
10/14/2019,88.6
10/15/2019,89.4
10/16/2019,89.4
10/17/2019,90.8
10/18/2019,91.2
10/19/2019,91.06666667
10/20/2019,90.93333333
10/21/2019,90.8
10/22/2019,90.8
10/23/2019,91.2
10/24/2019,90.8
10/25/2019,90.8
10/26/2019,90.93333333
10/27/2019,91.06666667
10/28/2019,91.2
10/29/2019,91.8
10/30/2019,91.6
10/31/2019,90.8
11/1/2019,92.2
11/2/2019,92.33333333
11/3/2019,92.46666667
11/4/2019,92.6
11/5/2019,92
11/6/2019,92
11/7/2019,92.8
11/8/2019,92.8
11/9/2019,92.86666667
11/10/2019,92.93333333
11/11/2019,93
11/12/2019,93.1
11/13/2019,93.2
11/14/2019,94
11/15/2019,93.8
11/16/2019,93.46666667
11/17/2019,93.13333333
