date,items,pettah_average,pettah_min_value,pettah_max_value,food_inflation_Base_2013,percipitation,Bankrupt,pettah_range,pettah_midpoint
6/22/2015,Pulses (Rs/Kg)_Green Gram,194.6,190,200,110.2,1.12,0,10,195
6/22/2015,Pulses (Rs/Kg)_Red Dhal,177.6,168,186,110.2,1.12,0,18,177
6/22/2015,Potatoes (Rs/Kg)_Nuwaraeliya,134,130,140,110.2,1.12,0,10,135
6/22/2015,Onion (Rs/Kg)_Vedalan,134,130,140,110.2,1.12,0,10,135
6/22/2015,Pulses (Rs/Kg)_Cowpea,202,180,210,110.2,1.12,0,30,195
6/22/2015,Rice (Rs/kg)_Nadu 1,68.4,68,69,110.2,1.12,0,1,68.5
6/22/2015,Rice (Rs/kg)_Nadu 2,66.4,65,67,110.2,1.12,0,2,66
6/22/2015,Rice (Rs/kg)_Samba 1,90.6,88,93,110.2,1.12,0,5,90.5
6/22/2015,Rice (Rs/kg)_Samba 2,82.8,80,85,110.2,1.12,0,5,82.5
6/22/2015,Onion (Rs/Kg)_Sinnan,114,110,120,110.2,1.12,0,10,115
6/23/2015,Pulses (Rs/Kg)_Green Gram,192,175,200,110.2,1.81,0,25,187.5
6/23/2015,Potatoes (Rs/Kg)_Nuwaraeliya,115.6,110,120,110.2,1.81,0,10,115
6/23/2015,Pulses (Rs/Kg)_Red Dhal,177.6,168,186,110.2,1.81,0,18,177
6/23/2015,Rice (Rs/kg)_Samba 2,82,80,85,110.2,1.81,0,5,82.5
6/23/2015,Pulses (Rs/Kg)_Cowpea,196.4,180,210,110.2,1.81,0,30,195
6/23/2015,Rice (Rs/kg)_Nadu 2,66,65,67,110.2,1.81,0,2,66
6/23/2015,Onion (Rs/Kg)_Sinnan,100,100,100,110.2,1.81,0,0,100
6/23/2015,Rice (Rs/kg)_Nadu 1,68.8,68,70,110.2,1.81,0,2,69
6/23/2015,Rice (Rs/kg)_Samba 1,90.4,88,93,110.2,1.81,0,5,90.5
6/23/2015,Onion (Rs/Kg)_Vedalan,126.67,120,130,110.2,1.81,0,10,125
6/25/2015,Onion (Rs/Kg)_Sinnan,118.33,110,125,110.2,1.6,0,15,117.5
6/25/2015,Potatoes (Rs/Kg)_Nuwaraeliya,114,100,125,110.2,1.6,0,25,112.5
6/25/2015,Pulses (Rs/Kg)_Green Gram,196,190,200,110.2,1.6,0,10,195
6/25/2015,Pulses (Rs/Kg)_Cowpea,198.6,180,210,110.2,1.6,0,30,195
6/25/2015,Pulses (Rs/Kg)_Red Dhal,175,167,185,110.2,1.6,0,18,176
6/25/2015,Rice (Rs/kg)_Nadu 2,65.4,64,67,110.2,1.6,0,3,65.5
6/25/2015,Rice (Rs/kg)_Nadu 1,68.2,68,69,110.2,1.6,0,1,68.5
6/25/2015,Rice (Rs/kg)_Samba 2,82.4,80,85,110.2,1.6,0,5,82.5
6/25/2015,Rice (Rs/kg)_Samba 1,90.6,88,95,110.2,1.6,0,7,91.5
6/25/2015,Onion (Rs/Kg)_Vedalan,155,145,170,110.2,1.6,0,25,157.5
6/26/2015,Rice (Rs/kg)_Samba 2,82.8,80,85,110.2,4.88,0,5,82.5
6/26/2015,Onion (Rs/Kg)_Sinnan,132.5,130,135,110.2,4.88,0,5,132.5
6/26/2015,Rice (Rs/kg)_Samba 1,89.6,88,92,110.2,4.88,0,4,90
6/26/2015,Pulses (Rs/Kg)_Red Dhal,175.8,167,185,110.2,4.88,0,18,176
6/26/2015,Potatoes (Rs/Kg)_Nuwaraeliya,114,110,120,110.2,4.88,0,10,115
6/26/2015,Pulses (Rs/Kg)_Green Gram,186.6,175,198,110.2,4.88,0,23,186.5
6/26/2015,Rice (Rs/kg)_Nadu 1,68.2,68,69,110.2,4.88,0,1,68.5
6/26/2015,Pulses (Rs/Kg)_Cowpea,195,160,210,110.2,4.88,0,50,185
6/26/2015,Onion (Rs/Kg)_Vedalan,158.33,155,160,110.2,4.88,0,5,157.5
6/26/2015,Rice (Rs/kg)_Nadu 2,65.2,64,66,110.2,4.88,0,2,65
6/29/2015,Pulses (Rs/Kg)_Red Dhal,177.8,168,186,110.2,4.71,0,18,177
6/29/2015,Rice (Rs/kg)_Samba 2,82.6,80,85,110.2,4.71,0,5,82.5
6/29/2015,Potatoes (Rs/Kg)_Nuwaraeliya,125,120,130,110.2,4.71,0,10,125
6/29/2015,Pulses (Rs/Kg)_Green Gram,183.6,165,193,110.2,4.71,0,28,179
6/29/2015,Pulses (Rs/Kg)_Cowpea,202,190,210,110.2,4.71,0,20,200
6/29/2015,Onion (Rs/Kg)_Sinnan,122.5,120,130,110.2,4.71,0,10,125
6/29/2015,Rice (Rs/kg)_Nadu 2,65.2,64,66,110.2,4.71,0,2,65
6/29/2015,Onion (Rs/Kg)_Vedalan,156,150,160,110.2,4.71,0,10,155
6/29/2015,Rice (Rs/kg)_Samba 1,90.6,88,93,110.2,4.71,0,5,90.5
6/29/2015,Rice (Rs/kg)_Nadu 1,68.4,68,69,110.2,4.71,0,1,68.5
6/30/2015,Rice (Rs/kg)_Samba 2,82.6,80,85,110.2,1.38,0,5,82.5
6/30/2015,Onion (Rs/Kg)_Sinnan,126.67,120,130,110.2,1.38,0,10,125
6/30/2015,Pulses (Rs/Kg)_Green Gram,190,175,195,110.2,1.38,0,20,185
6/30/2015,Pulses (Rs/Kg)_Cowpea,193.25,185,200,110.2,1.38,0,15,192.5
6/30/2015,Rice (Rs/kg)_Samba 1,90.4,88,93,110.2,1.38,0,5,90.5
6/30/2015,Pulses (Rs/Kg)_Red Dhal,171.6,162,180,110.2,1.38,0,18,171
6/30/2015,Rice (Rs/kg)_Nadu 1,68.2,68,69,110.2,1.38,0,1,68.5
6/30/2015,Onion (Rs/Kg)_Vedalan,153.75,150,160,110.2,1.38,0,10,155
6/30/2015,Rice (Rs/kg)_Nadu 2,65,64,66,110.2,1.38,0,2,65
6/30/2015,Potatoes (Rs/Kg)_Nuwaraeliya,132,130,135,110.2,1.38,0,5,132.5
7/1/2015,Pulses (Rs/Kg)_Red Dhal,171.6,165,180,110.8,2.44,0,15,172.5
7/1/2015,Rice (Rs/kg)_Nadu 2,65.8,65,68,110.8,2.44,0,3,66.5
7/1/2015,Rice (Rs/kg)_Nadu 1,68.2,65,70,110.8,2.44,0,5,67.5
7/1/2015,Pulses (Rs/Kg)_Cowpea,203,200,205,110.8,2.44,0,5,202.5
7/1/2015,Rice (Rs/kg)_Samba 1,90.2,88,93,110.8,2.44,0,5,90.5
7/1/2015,Onion (Rs/Kg)_Vedalan,162,160,165,110.8,2.44,0,5,162.5
7/1/2015,Pulses (Rs/Kg)_Green Gram,191,185,195,110.8,2.44,0,10,190
7/1/2015,Rice (Rs/kg)_Samba 2,83,80,85,110.8,2.44,0,5,82.5
7/1/2015,Potatoes (Rs/Kg)_Nuwaraeliya,126,120,130,110.8,2.44,0,10,125
7/1/2015,Onion (Rs/Kg)_Sinnan,122.5,120,125,110.8,2.44,0,5,122.5
7/1/2015,Pulses (Rs/Kg)_Green Gram,191,185,195,110.8,2.44,0,10,190
7/1/2015,Rice (Rs/kg)_Samba 2,83,80,85,110.8,2.44,0,5,82.5
7/1/2015,Rice (Rs/kg)_Nadu 1,68.2,65,70,110.8,2.44,0,5,67.5
7/1/2015,Onion (Rs/Kg)_Vedalan,162,160,165,110.8,2.44,0,5,162.5
7/1/2015,Rice (Rs/kg)_Samba 1,90.2,88,93,110.8,2.44,0,5,90.5
7/1/2015,Pulses (Rs/Kg)_Cowpea,203,200,205,110.8,2.44,0,5,202.5
7/1/2015,Onion (Rs/Kg)_Sinnan,122.5,120,125,110.8,2.44,0,5,122.5
7/1/2015,Rice (Rs/kg)_Nadu 2,65.8,65,68,110.8,2.44,0,3,66.5
7/1/2015,Potatoes (Rs/Kg)_Nuwaraeliya,126,120,130,110.8,2.44,0,10,125
7/1/2015,Pulses (Rs/Kg)_Red Dhal,171.6,165,180,110.8,2.44,0,15,172.5
7/3/2015,Onion (Rs/Kg)_Vedalan,143.75,140,150,110.8,2.21,0,10,145
7/3/2015,Pulses (Rs/Kg)_Cowpea,202,200,205,110.8,2.21,0,5,202.5
7/3/2015,Pulses (Rs/Kg)_Green Gram,185.6,175,198,110.8,2.21,0,23,186.5
7/3/2015,Pulses (Rs/Kg)_Red Dhal,174.6,165,185,110.8,2.21,0,20,175
